entry_idx,entry_date,entry_price,direction,exit_idx,exit_date,exit_price,return_pct,pnl,probability,predicted_class,commission,forced_exit
133,2024-09-15,35.653000000000006,long,138,2024-09-20,34.439,-3.4050430538804743,-5.405043053880474,0.7180049,2,2,
136,2024-09-18,35.25,long,141,2024-09-23,36.205999999999996,2.712056737588641,0.7120567375886409,0.7297844,2,2,
138,2024-09-20,34.449000000000005,long,143,2024-09-25,37.314,8.316641992510652,6.316641992510652,0.78456527,2,2,
141,2024-09-23,36.216,long,146,2024-09-28,38.108999999999995,5.22697150430747,3.2269715043074703,0.7656256,2,2,
143,2024-09-25,37.324000000000005,long,148,2024-09-30,39.038999999999994,4.594898724681141,2.5948987246811406,0.65334594,2,2,
146,2024-09-28,38.119,long,151,2024-10-03,39.907,4.690574254308866,2.690574254308866,0.7898076,2,2,
148,2024-09-30,39.049,long,153,2024-10-05,40.974999999999994,4.932264590642513,2.9322645906425127,0.77068937,2,2,
151,2024-10-03,39.917,long,156,2024-10-08,38.913999999999994,-2.512713881303723,-4.512713881303723,0.6285174,2,2,
153,2024-10-05,40.985,long,158,2024-10-10,40.288,-1.7006221788459257,-3.7006221788459257,0.6964899,2,2,
156,2024-10-08,38.924,long,161,2024-10-13,39.873999999999995,2.440653581337981,0.44065358133798105,0.58111477,2,2,
158,2024-10-10,40.298,long,163,2024-10-15,39.967999999999996,-0.8188992009529142,-2.8188992009529144,0.63588196,2,2,
163,2024-10-15,39.967999999999996,short,168,2024-10-20,39.209,1.8990192153722811,-0.10098078462771887,0.50058377,0,2,
169,2024-10-21,40.029,long,174,2024-10-26,43.507999999999996,8.691198880811392,6.691198880811392,0.6275702,2,2,
170,2024-10-22,40.709,long,175,2024-10-27,43.507999999999996,6.875629467685259,4.875629467685259,0.6293092,2,2,
174,2024-10-26,43.507999999999996,short,179,2024-10-31,40.593,6.69991725659647,4.69991725659647,0.55849016,0,2,
175,2024-10-27,43.507999999999996,short,180,2024-11-01,39.18,9.947595844442393,7.947595844442393,0.61610264,0,2,
179,2024-10-31,40.583,short,184,2024-11-05,40.497,0.21191139146933083,-1.788088608530669,0.56798756,0,2,
180,2024-11-01,39.169999999999995,short,185,2024-11-06,40.393,-3.1222874648966203,-5.122287464896621,0.5007797,0,2,
185,2024-11-06,40.393,long,190,2024-11-11,43.723,8.244002673730593,6.244002673730593,0.52607965,2,2,
186,2024-11-07,41.281000000000006,long,191,2024-11-12,44.25,7.192170732298137,5.192170732298137,0.6851101,2,2,
190,2024-11-11,43.733000000000004,long,195,2024-11-16,46.546,6.432213660165082,4.432213660165082,0.71444905,2,2,
192,2024-11-13,43.660999999999994,short,197,2024-11-18,46.905,-7.42997182840523,-9.429971828405229,0.6947292,0,2,
195,2024-11-16,46.546,short,200,2024-11-21,48.308,-3.7855025136424194,-5.785502513642419,0.5790877,0,2,
197,2024-11-18,46.894999999999996,short,202,2024-11-23,47.023,-0.2729502079113066,-2.2729502079113066,0.684459,0,2,
200,2024-11-21,48.297999999999995,short,205,2024-11-26,47.221000000000004,2.229906000248439,0.2299060002484392,0.6886988,0,2,
202,2024-11-23,47.013,short,207,2024-11-28,46.265,1.5910492842405242,-0.40895071575947584,0.7913513,0,2,
205,2024-11-26,47.211,short,210,2024-12-01,47.816,-1.281481010781394,-3.281481010781394,0.7803829,0,2,
207,2024-11-28,46.254999999999995,short,212,2024-12-03,48.562000000000005,-4.987568911469051,-6.987568911469051,0.8026441,0,2,
210,2024-12-01,47.806,short,215,2024-12-06,46.485,2.763251474710283,0.763251474710283,0.83771724,0,2,
212,2024-12-03,48.552,short,217,2024-12-08,46.485,4.25729115175482,2.2572911517548198,0.8037385,0,2,
215,2024-12-06,46.474999999999994,short,220,2024-12-11,44.699000000000005,3.8214093598708754,1.8214093598708754,0.7890903,0,2,
217,2024-12-08,46.474999999999994,short,222,2024-12-13,41.220000000000006,11.307154384077437,9.307154384077437,0.75529665,0,2,
220,2024-12-11,44.689,short,225,2024-12-16,40.282000000000004,9.861487166864322,7.861487166864322,0.54936683,0,2,
222,2024-12-13,41.21,short,227,2024-12-18,41.012,0.4804659063334151,-1.5195340936665849,0.5567632,0,2,
225,2024-12-16,40.272,short,229,2024-12-20,44.135000000000005,-9.592272546682576,-11.592272546682576,0.6949739,0,2,
227,2024-12-18,41.001999999999995,short,232,2024-12-23,45.550000000000004,-11.092141846739207,-13.092141846739207,0.53316635,0,2,
229,2024-12-20,44.135000000000005,long,234,2024-12-25,45.726,3.6048487594879206,1.6048487594879206,0.66397154,2,2,
232,2024-12-23,45.550000000000004,long,237,2024-12-28,47.726,4.777167947310636,2.7771679473106357,0.6374133,2,2,
234,2024-12-25,45.736000000000004,long,239,2024-12-30,47.628,4.136785027112112,2.1367850271121123,0.8495371,2,2,
237,2024-12-28,47.736000000000004,long,242,2025-01-02,50.268,5.304172951231767,3.3041729512317666,0.6076312,2,2,
239,2024-12-30,47.628,short,244,2025-01-04,49.627,-4.197110943142694,-6.197110943142694,0.5088261,0,2,
242,2025-01-02,50.268,short,247,2025-01-07,47.479,5.548261319328403,3.548261319328403,0.5138254,0,2,
244,2025-01-04,49.627,long,248,2025-01-08,45.553999999999995,-8.207225905253203,-10.207225905253203,0.5161005,2,2,
247,2025-01-07,47.468999999999994,short,252,2025-01-12,45.013000000000005,5.173902968252942,3.173902968252942,0.50330323,0,2,
248,2025-01-08,45.553999999999995,short,253,2025-01-13,48.266000000000005,-5.9533740176494065,-7.9533740176494065,0.52439,0,2,
